Geracoes: 100000
Tamanho populacao100
Hora de inicio: 1508934716279


Geracao: 99 MelhorSolucao: 4560790
Geracao: 199 MelhorSolucao: 4337900
Geracao: 299 MelhorSolucao: 4127100
Geracao: 399 MelhorSolucao: 3929425
Geracao: 499 MelhorSolucao: 3730945
Geracao: 599 MelhorSolucao: 3543800
Geracao: 699 MelhorSolucao: 3362355
Geracao: 799 MelhorSolucao: 3190920
Geracao: 899 MelhorSolucao: 3039610
Geracao: 999 MelhorSolucao: 2864995
Geracao: 1099 MelhorSolucao: 2714565
Geracao: 1199 MelhorSolucao: 2571845
Geracao: 1299 MelhorSolucao: 2446430
Geracao: 1399 MelhorSolucao: 2327370
Geracao: 1499 MelhorSolucao: 2205495
Geracao: 1599 MelhorSolucao: 2098765
Geracao: 1699 MelhorSolucao: 2016945
Geracao: 1799 MelhorSolucao: 1933215
Geracao: 1899 MelhorSolucao: 1853945
Geracao: 1999 MelhorSolucao: 1780485
Geracao: 2099 MelhorSolucao: 1706765
Geracao: 2199 MelhorSolucao: 1639465
Geracao: 2299 MelhorSolucao: 1587215
Geracao: 2399 MelhorSolucao: 1552710
Geracao: 2499 MelhorSolucao: 1501860
Geracao: 2599 MelhorSolucao: 1473270
Geracao: 2699 MelhorSolucao: 1439080
Geracao: 2799 MelhorSolucao: 1405525
Geracao: 2899 MelhorSolucao: 1372000
Geracao: 2999 MelhorSolucao: 1352970
Geracao: 3099 MelhorSolucao: 1318070
Geracao: 3199 MelhorSolucao: 1298540
Geracao: 3299 MelhorSolucao: 1267675
Geracao: 3399 MelhorSolucao: 1251815
Geracao: 3499 MelhorSolucao: 1235055
Geracao: 3599 MelhorSolucao: 1216070
Geracao: 3699 MelhorSolucao: 1206905
Geracao: 3799 MelhorSolucao: 1197895
Geracao: 3899 MelhorSolucao: 1187080
Geracao: 3999 MelhorSolucao: 1177535
Geracao: 4099 MelhorSolucao: 1166010
Geracao: 4199 MelhorSolucao: 1160915
Geracao: 4299 MelhorSolucao: 1155710
Geracao: 4399 MelhorSolucao: 1153070
